file,corner_index,x,y,real_x,real_y
108.3x500y.jpg,21,1676.4781494140625,1113.1478271484375,168.3,560.0
108.3x500y.jpg,22,1734.48583984375,1113.5928955078125,183.3,560.0
108.3x500y.jpg,23,1792.3695068359375,1114.84326171875,198.3,560.0
108.3x500y.jpg,24,1850.2664794921875,1115.5587158203125,213.3,560.0
108.3x500y.jpg,25,1908.2767333984375,1115.9840087890625,228.3,560.0
108.3x500y.jpg,26,1965.75439453125,1116.5263671875,243.3,560.0
108.3x500y.jpg,27,1506.3685302734375,1138.4918212890625,123.3,545.0
108.3x500y.jpg,28,1564.8616943359375,1139.3634033203125,138.3,545.0
108.3x500y.jpg,29,1624.570068359375,1140.6173095703125,153.3,545.0
108.3x500y.jpg,30,1683.7705078125,1140.652099609375,168.3,545.0
108.3x500y.jpg,31,1743.2109375,1142.777099609375,183.3,545.0
108.3x500y.jpg,32,1802.0462646484375,1142.5693359375,198.3,545.0
108.3x500y.jpg,33,1861.45751953125,1143.96533203125,213.3,545.0
108.3x500y.jpg,34,1920.6907958984375,1143.6322021484375,228.3,545.0
108.3x500y.jpg,35,1979.7667236328125,1144.0740966796875,243.3,545.0
108.3x500y.jpg,36,1509.291015625,1168.394287109375,123.3,530.0
108.3x500y.jpg,37,1569.783935546875,1168.8345947265625,138.3,530.0
108.3x500y.jpg,38,1630.3121337890625,1169.9671630859375,153.3,530.0
108.3x500y.jpg,39,1691.60986328125,1171.5831298828125,168.3,530.0
108.3x500y.jpg,40,1752.0653076171875,1171.59716796875,183.3,530.0
108.3x500y.jpg,41,1812.4896240234375,1173.0767822265625,198.3,530.0
108.3x500y.jpg,42,1873.110107421875,1173.5028076171875,213.3,530.0
108.3x500y.jpg,43,1933.7540283203125,1174.0986328125,228.3,530.0
108.3x500y.jpg,44,1994.81396484375,1174.648193359375,243.3,530.0
108.3x500y.jpg,45,1512.64111328125,1200.1317138671875,123.3,515.0
108.3x500y.jpg,46,1574.764404296875,1200.94091796875,138.3,515.0
108.3x500y.jpg,47,1636.672119140625,1201.9952392578125,153.3,515.0
108.3x500y.jpg,48,1698.9248046875,1202.5523681640625,168.3,515.0
108.3x500y.jpg,49,1761.3837890625,1203.7098388671875,183.3,515.0
108.3x500y.jpg,50,1823.09033203125,1203.306640625,198.3,515.0
108.3x500y.jpg,51,1885.678955078125,1205.1097412109375,213.3,515.0
108.3x500y.jpg,52,1948.3199462890625,1205.629150390625,228.3,515.0
108.3x500y.jpg,53,2010.4764404296875,1204.9212646484375,243.3,515.0
52.9x700y.jpg,0,1304.63134765625,800.61767578125,67.9,790.0
52.9x700y.jpg,1,1347.5819091796875,801.2693481445312,82.9,790.0
52.9x700y.jpg,2,1390.9725341796875,801.5032958984375,97.9,790.0
52.9x700y.jpg,3,1434.178955078125,801.6217651367188,112.9,790.0
52.9x700y.jpg,4,1476.9573974609375,801.98486328125,127.9,790.0
52.9x700y.jpg,5,1520.070068359375,802.6099853515625,142.9,790.0
52.9x700y.jpg,6,1562.8702392578125,803.2410888671875,157.9,790.0
52.9x700y.jpg,7,1605.8809814453125,803.406982421875,172.9,790.0
52.9x700y.jpg,8,1648.9754638671875,802.95751953125,187.9,790.0
52.9x700y.jpg,9,1304.33447265625,816.121337890625,67.9,775.0
52.9x700y.jpg,10,1347.9937744140625,815.541259765625,82.9,775.0
52.9x700y.jpg,11,1391.779541015625,816.4732055664062,97.9,775.0
52.9x700y.jpg,12,1435.780517578125,816.2366333007812,112.9,775.0
52.9x700y.jpg,13,1479.51171875,817.3521728515625,127.9,775.0
52.9x700y.jpg,14,1523.26123046875,817.3955688476562,142.9,775.0
52.9x700y.jpg,15,1567.455810546875,818.6680297851562,157.9,775.0
52.9x700y.jpg,16,1610.98583984375,818.6580810546875,172.9,775.0
52.9x700y.jpg,17,1654.4398193359375,818.6345825195312,187.9,775.0
52.9x700y.jpg,18,1303.5306396484375,831.4945678710938,67.9,760.0
52.9x700y.jpg,19,1348.4136962890625,831.6068725585938,82.9,760.0
52.9x700y.jpg,20,1393.2674560546875,832.0510864257812,97.9,760.0
52.9x700y.jpg,21,1437.529052734375,833.0022583007812,112.9,760.0
52.9x700y.jpg,22,1482.4371337890625,832.9525146484375,127.9,760.0
52.9x700y.jpg,23,1526.4464111328125,834.0225219726562,142.9,760.0
52.9x700y.jpg,24,1571.178466796875,834.554443359375,157.9,760.0
52.9x700y.jpg,25,1615.4490966796875,835.0488891601562,172.9,760.0
52.9x700y.jpg,26,1660.078369140625,835.0162353515625,187.9,760.0
52.9x700y.jpg,27,1303.3388671875,847.6483154296875,67.9,745.0
52.9x700y.jpg,28,1348.4398193359375,848.484130859375,82.9,745.0
52.9x700y.jpg,29,1394.36474609375,849.005615234375,97.9,745.0
52.9x700y.jpg,30,1439.6273193359375,848.8511352539062,112.9,745.0
52.9x700y.jpg,31,1484.9761962890625,850.6521606445312,127.9,745.0
52.9x700y.jpg,32,1529.761962890625,849.8851928710938,142.9,745.0
52.9x700y.jpg,33,1575.41015625,851.062744140625,157.9,745.0
52.9x700y.jpg,34,1621.1044921875,851.364501953125,172.9,745.0
52.9x700y.jpg,35,1665.7281494140625,851.0504150390625,187.9,745.0
52.9x700y.jpg,36,1302.593994140625,864.9937133789062,67.9,730.0
52.9x700y.jpg,37,1349.15869140625,865.2622680664062,82.9,730.0
52.9x700y.jpg,38,1395.51123046875,865.5255126953125,97.9,730.0
52.9x700y.jpg,39,1441.5487060546875,866.998779296875,112.9,730.0
52.9x700y.jpg,40,1488.10546875,866.572509765625,127.9,730.0
52.9x700y.jpg,41,1533.48583984375,868.0556640625,142.9,730.0
52.9x700y.jpg,42,1579.9189453125,868.4479370117188,157.9,730.0
52.9x700y.jpg,43,1626.375244140625,868.9673461914062,172.9,730.0
52.9x700y.jpg,44,1672.0228271484375,868.9121704101562,187.9,730.0
52.9x700y.jpg,45,1302.428466796875,883.54541015625,67.9,715.0
52.9x700y.jpg,46,1349.5172119140625,883.5426025390625,82.9,715.0
52.9x700y.jpg,47,1396.574951171875,884.196533203125,97.9,715.0
52.9x700y.jpg,48,1443.63623046875,884.5462036132812,112.9,715.0
52.9x700y.jpg,49,1490.53466796875,885.28759765625,127.9,715.0
52.9x700y.jpg,50,1538.00537109375,885.5849609375,142.9,715.0
52.9x700y.jpg,51,1584.4833984375,886.0740966796875,157.9,715.0
52.9x700y.jpg,52,1631.4210205078125,886.5355834960938,172.9,715.0
52.9x700y.jpg,53,1678.504638671875,886.4100341796875,187.9,715.0
57x400y.jpg,0,1307.0,1244.0,72.0,490.0
57x400y.jpg,1,1370.5064697265625,1242.1424560546875,87.0,490.0
57x400y.jpg,2,1434.4759521484375,1242.51953125,102.0,490.0
57x400y.jpg,3,1498.6422119140625,1243.27294921875,117.0,490.0
57x400y.jpg,4,1562.8599853515625,1243.591552734375,132.0,490.0
57x400y.jpg,5,1627.2449951171875,1244.152099609375,147.0,490.0
57x400y.jpg,6,1690.8951416015625,1244.2900390625,162.0,490.0
57x400y.jpg,7,1755.5718994140625,1243.986328125,177.0,490.0
57x400y.jpg,8,1819.0660400390625,1243.4080810546875,192.0,490.0
57x400y.jpg,9,1305.6429443359375,1276.660400390625,72.0,475.0
57x400y.jpg,10,1371.4857177734375,1276.246826171875,87.0,475.0
57x400y.jpg,11,1437.56982421875,1278.04296875,102.0,475.0
57x400y.jpg,12,1503.4530029296875,1277.24560546875,117.0,475.0
57x400y.jpg,13,1569.2816162109375,1278.752685546875,132.0,475.0
57x400y.jpg,14,1634.8094482421875,1277.5208740234375,147.0,475.0
57x400y.jpg,15,1700.43408203125,1279.0389404296875,162.0,475.0
57x400y.jpg,16,1766.4129638671875,1278.964111328125,177.0,475.0
57x400y.jpg,17,1831.70263671875,1278.3206787109375,192.0,475.0
57x400y.jpg,18,1305.257568359375,1312.6217041015625,72.0,460.0
57x400y.jpg,19,1373.1007080078125,1313.4564208984375,87.0,460.0
57x400y.jpg,20,1440.4453125,1313.8145751953125,102.0,460.0
57x400y.jpg,21,1508.4302978515625,1314.9559326171875,117.0,460.0
57x400y.jpg,22,1575.971435546875,1313.97998046875,132.0,460.0
57x400y.jpg,23,1643.4833984375,1315.9339599609375,147.0,460.0
57x400y.jpg,24,1711.03857421875,1315.6524658203125,162.0,460.0
57x400y.jpg,25,1778.4874267578125,1316.0159912109375,177.0,460.0
57x400y.jpg,26,1845.409912109375,1315.522705078125,192.0,460.0
57x400y.jpg,27,1304.6484375,1351.44384765625,72.0,445.0
57x400y.jpg,28,1374.2655029296875,1351.94384765625,87.0,445.0
57x400y.jpg,29,1443.6455078125,1352.6021728515625,102.0,445.0
57x400y.jpg,30,1513.222900390625,1352.499267578125,117.0,445.0
57x400y.jpg,31,1582.5904541015625,1353.9967041015625,132.0,445.0
57x400y.jpg,32,1651.88525390625,1353.5037841796875,147.0,445.0
57x400y.jpg,33,1721.493896484375,1354.84375,162.0,445.0
57x400y.jpg,34,1790.54736328125,1354.4161376953125,177.0,445.0
57x400y.jpg,35,1860.5792236328125,1353.7703857421875,192.0,445.0
57x400y.jpg,36,1304.307861328125,1392.516357421875,72.0,430.0
57x400y.jpg,37,1375.8165283203125,1393.078125,87.0,430.0
57x400y.jpg,38,1447.5509033203125,1393.4051513671875,102.0,430.0
57x400y.jpg,39,1518.668701171875,1394.333984375,117.0,430.0
