Time,Seconds_Mid,LeftHeel_Dist,RightHeel_Dist,LeftToe_Dist,RightToe_Dist,noStep,
11:41:56.AM,42116.33,12.488384499492,12.7789890244892,12.6697240364843,12.5272187811243,0,
11:41:56.AM,42116.363,12.477762744437,12.7379445546853,12.6642600485559,12.5927914597721,0,
11:41:56.AM,42116.396,12.4984853161002,12.8023882716204,12.6974154814881,12.6712121480336,0,
11:41:56.AM,42116.429,12.5573264708181,12.8438787049076,12.7338629433984,12.8067616654059,0,
11:41:56.AM,42116.462,12.5724168393103,12.8523624155477,12.719370724199,12.9509362414291,0,
11:41:56.AM,42116.495,12.5896125045551,12.8595946558095,12.7605785006191,13.0619671277434,0,
11:41:56.AM,42116.528,12.5537918963495,12.8624612090976,12.7791326518934,13.0994772615151,0,
11:41:56.AM,42116.561,12.5532818949182,12.9255338831231,12.8083503723534,13.1795784332473,0,
11:41:56.AM,42116.594,12.5179457937314,13.001842956335,12.8122694311387,13.2086444190213,0,
11:41:56.AM,42116.627,12.5403054694526,13.049013466435,12.8360771484935,13.2148329969781,0,
11:41:56.AM,42116.66,12.5454469945003,13.0481037845766,12.8006258604848,13.184540658212,0,
11:41:56.AM,42116.693,12.5614088803778,13.1069593748832,12.769564705069,13.181705064925,0,
11:41:56.AM,42116.726,12.6691431074242,13.1576060820763,12.7283314931064,13.2194736895992,0,
11:41:56.AM,42116.759,12.8358135988647,13.1704770561384,12.7106255827522,13.2109614860759,0,
11:41:56.AM,42116.792,13.0614529484704,13.2514618818831,12.7148177032764,13.2049096018604,0,
11:41:56.AM,42116.825,13.2984076348639,13.2889533028108,12.7585894567283,13.19346907894,0,
11:41:56.AM,42116.858,13.558914581697,13.3113280084806,12.9009908781994,13.1618405168719,0,
11:41:56.AM,42116.891,13.6551770324015,13.2851065369214,12.9809183283106,13.1905961924608,0,
11:41:56.AM,42116.924,13.8883333717219,13.2687567330456,13.2328303463489,13.2274462873928,0,
11:41:56.AM,42116.957,13.9847079795549,13.2664519157367,13.3250768698475,13.2490206454658,0,
11:41:57.AM,42117,13.885844356155,13.2869579730988,13.3388130802923,13.2737556831546,0,
11:41:57.AM,42117.033,13.7704767521994,13.3125085639051,13.3904229798988,13.3290998820101,0,
11:41:57.AM,42117.066,13.7419931763941,13.310873253623,13.5417681395679,13.4279767368479,0,
11:41:57.AM,42117.099,13.7346346746571,13.3129145233338,13.7051936768228,13.5377567549529,0,
11:41:57.AM,42117.132,13.7157936966997,13.3106616633262,13.9100195513667,13.6029094044845,0,
11:41:57.AM,42117.165,13.7384617606021,13.3257314471071,14.03510266634,13.667438369703,0,
11:41:57.AM,42117.198,13.7305254477266,13.3086241510864,14.1855729830433,13.6651364562333,0,
11:41:57.AM,42117.231,13.7720926416593,13.3001575734706,14.2289761526229,13.6443961560066,0,
11:41:57.AM,42117.264,13.8476554555389,13.2792257926936,14.2210415681103,13.6350157869008,0,
11:41:57.AM,42117.297,13.934124536267,13.3499169760759,14.2534578048513,13.6343520384526,0,
11:41:57.AM,42117.33,13.9403653196276,13.5280530164259,14.1625834598416,13.6586482066513,0,
11:41:57.AM,42117.363,13.9162038481913,13.6457864388726,14.0564732715209,13.6721393412566,0,
11:41:57.AM,42117.396,14.0189773787142,13.9115379458744,14.0532643103208,13.6441293003061,0,
11:41:57.AM,42117.429,13.9892088122022,13.973609607672,13.8453750161421,13.747091059104,0,
11:41:57.AM,42117.462,13.971641533641,14.219181649332,13.9205150502398,13.9496612280729,0,
11:41:57.AM,42117.495,13.9839344917375,14.1706043844385,14.0202784943446,14.0818854323139,0,
11:41:57.AM,42117.528,14.0167007952198,14.5234046395613,14.2120254088719,14.2693087492077,0,
11:41:57.AM,42117.561,14.0278868988452,14.4299824112226,14.2208472885087,14.1754306899484,0,
11:41:57.AM,42117.594,14.0505119364069,14.3592889610019,14.2522942567999,14.2097591981723,0,
11:41:57.AM,42117.627,14.0889632570154,14.3770784811348,14.2605559238882,14.308209359489,0,
11:41:57.AM,42117.66,14.1190092966026,14.3764607646942,14.27587906062,14.4586730392324,0,
11:41:57.AM,42117.693,14.1458606609671,14.3811414880018,14.3048117822884,14.5062759486782,0,
11:41:57.AM,42117.726,14.1710394442271,14.4096911403068,14.3298596497755,14.507255343446,0,
11:41:57.AM,42117.759,14.1922865989925,14.4703735616506,14.3551424614107,14.7252426508332,0,
11:41:57.AM,42117.792,14.1624610243878,14.5230103784116,14.3563377699351,14.7438470014983,0,
11:41:57.AM,42117.825,14.1527132018418,14.5865050881592,14.308719889823,14.7864925432635,0,
11:41:57.AM,42117.858,14.1689883986525,14.6088677311024,14.3100596269888,14.8157266777566,0,
11:41:57.AM,42117.891,14.1660839624245,14.6439840703732,14.2674158169131,14.8282369021186,0,
11:41:57.AM,42117.924,14.2223828184769,14.6854850967609,14.2706221239832,14.8542463719901,0,
11:41:57.AM,42117.957,14.407030333831,14.791613015555,14.2406048358218,14.8269167818135,0,
11:41:58.AM,42118,14.5873609354229,14.8397698125453,14.2413712727811,14.8177226808325,0,
11:41:58.AM,42118.033,15.0321776232252,14.8025071257535,14.4606104077962,14.573803365798,0,
11:41:58.AM,42118.066,15.2530265236084,14.8095019738844,14.4428660604069,14.4953212203663,0,
11:41:58.AM,42118.099,15.4233291180587,14.7965056219532,14.5064702347406,14.5186940805624,0,
11:41:58.AM,42118.132,15.4846872318472,14.8123673770198,14.6112931398463,14.5800050709375,0,
11:41:58.AM,42118.165,15.4878548314386,14.8418842484324,14.6956070398323,14.639049339353,0,
11:41:58.AM,42118.198,15.3764646075518,14.8525743721433,14.7395401922699,14.7375595868514,0,
11:41:58.AM,42118.231,15.3634817255492,14.879773385162,14.8863130070175,14.9361545185764,0,
11:41:58.AM,42118.264,15.3870857331106,14.8540001280215,15.0421150088615,15.0555921723697,0,
11:41:58.AM,42118.297,15.256891883736,14.7752341477323,15.2841707230664,15.1512263650119,0,
11:41:58.AM,42118.33,15.16359142035,14.7259982093354,15.3973746145658,15.1302133467118,0,
11:41:58.AM,42118.363,15.1630704377176,14.69676214594,15.5423357436277,15.1145653231833,0,
11:41:58.AM,42118.396,15.1664097355625,14.6939919061436,15.6707920080257,15.1063633396008,0,
11:41:58.AM,42118.429,15.2076960259708,14.6876276467915,15.8228267798373,15.1713016683939,0,
11:41:58.AM,42118.462,15.2169798457288,14.6899364204638,15.8634259160722,15.1891204599248,0,
11:41:58.AM,42118.495,15.2274241897157,14.7067910539882,15.7999255325938,15.1746452958851,0,
11:41:58.AM,42118.528,15.2368942734254,14.7850890986322,15.7649021202425,15.1720914553365,0,
11:41:58.AM,42118.561,15.2548164174878,14.9230940085621,15.7104760311931,15.1526375647079,0,
11:41:58.AM,42118.594,15.4359869330665,15.3152785359731,15.6785702218194,15.0820089920079,0,
11:41:58.AM,42118.627,15.4972052500997,15.6754044209923,15.661883094815,15.081814242893,0,
11:41:58.AM,42118.66,15.683478391136,16.0051180145768,15.6865747305052,15.1805500001554,0,
11:41:58.AM,42118.693,15.6618598523344,16.1334000118939,15.7087909974849,15.3353153001257,0,
11:41:58.AM,42118.726,15.6366676162574,16.1180368052923,15.7029025029399,15.4067713794063,0,
11:41:58.AM,42118.759,15.6572164169677,16.1192553852572,15.7317168340441,15.5023265804422,0,
11:41:58.AM,42118.792,15.6863274076346,16.0128696488825,15.7303636932234,15.5758537339618,0,
11:41:58.AM,42118.825,15.7111035081714,15.9893568827978,15.7756738573284,15.8700738360724,0,
11:41:58.AM,42118.858,15.7028121945251,16.0018677689636,15.8057413532731,16.0338403324217,0,
11:41:58.AM,42118.891,15.6719575931276,15.941878054899,15.8234984826264,16.0892575468528,0,
11:41:58.AM,42118.924,15.6836162785297,15.9765922480904,15.8583595482198,16.2339970784808,0,
11:41:58.AM,42118.957,15.6931905137409,16.0483890415208,15.834952143841,16.3899509918942,0,
11:41:59.AM,42119,15.6476221724806,16.1350633870232,15.8351303815245,16.5308295605529,0,
11:41:59.AM,42119.033,15.6417965675846,16.2041534991574,15.8010229515317,16.557043926339,0,
11:41:59.AM,42119.066,15.6437495244323,16.1817063580935,15.771337680654,16.4741081802812,0,
11:41:59.AM,42119.099,15.679884921448,16.2025831112498,15.772455373433,16.447760402831,0,
